"Biomarker.IDs","Biomarker.Names"
"HGNC:50698","ZFPM2-AS1"
"HGNC:1749","CDH10"
"HGNC:24160","BEAN1"
"HGNC:8776","PDE1C"
"HGNC:2705","DCN"
"HGNC:14267","PCDH17"
"N/A","C4ORF26"
"HGNC:24581","DNAJC14"
"N/A","FAM129A"
"HGNC:3225","EFNA5"
"HGNC:24290","CSGALNACT1"
"HGNC:22950","PREX2"
"HGNC:28084","ISX"
"HGNC:18582","ADGRL2"
"HGNC:29199","TMCC3"
"HGNC:14291","NLGN1"
"HGNC:20360","LRFN5"
"HGNC:17302","NEGR1"
"HGNC:8977","PIK3CD"
"HGNC:1163","C11orf1"
"HGNC:2204","COL4A3"
"N/A","KIAA1024"
"HGNC:9778","RAB3B"
"HGNC:29404","KLHL29"
"HGNC:12449","TYROBP"
"HGNC:1697","CD74"
"HGNC:494","ANK3"
"HGNC:24886","FRMD4B"
"HGNC:3990","FTH1P3"
"HGNC:3788","FOLH1"
"HGNC:38","ABCA8"
"HGNC:7197","MOG"
"HGNC:12555","UGT8"
"N/A","SEPP1"
"HGNC:3166","LPAR1"
"HGNC:10956","SLCO1A2"
"HGNC:25753","MAP6D1"
"HGNC:10500","S100B"
"HGNC:29268","CARNS1"
"HGNC:9875","RASGRF1"
"HGNC:2207","COL4A5"
"HGNC:2195","COL18A1"
"HGNC:12597","USH1C"
"HGNC:23409","ENPP6"
"N/A","LINC00982"
"HGNC:26829","NKAIN3"
"HGNC:30834","TRIM59"
"HGNC:10485","RYR3"
"N/A","RNF219-AS1"
"HGNC:44128","LRP4-AS1"
"HGNC:18640","LDLRAP1"
"HGNC:9398","OLIG2"
"HGNC:16315","SNX22"
"HGNC:16191","NKAIN4"
"HGNC:48357","KLRC4-KLRK1"
"HGNC:14670","COL20A1"
"HGNC:14923","GPR37L1"
"HGNC:7035","MFAP4"
"HGNC:24820","FAM189A2"
"HGNC:10918","SLC14A1"
"HGNC:333","AGT"
"HGNC:10661","SDC4"
"HGNC:7778","NFATC4"
"HGNC:4288","GJB6"
"HGNC:613","APOE"
"HGNC:30506","PLEKHH2"
"HGNC:7866","NOG"
"HGNC:30932","XAF1"
"N/A","PVRL3"
"HGNC:4388","GNAL"
"N/A","FAM84B"
"N/A","TMEM2"
"HGNC:49024","LINC01036"
"HGNC:19343","ST6GALNAC3"
"HGNC:44879","VIM-AS1"
"N/A","PQLC2L"
"HGNC:48639","LINC00943"
"HGNC:4830","HBE1"
"HGNC:21090","TRAPPC3L"
"HGNC:49109","LINC01069"
"HGNC:2557","CUX1"
"HGNC:2701","DCC"
"HGNC:1462","CAMK2D"
"HGNC:2951","DNAH6"
"HGNC:25209","PRUNE2"
"HGNC:26286","ARSJ"
"HGNC:11879","TMSB10"
"HGNC:5198","HS3ST3B1"
"HGNC:5192","HES1"
"HGNC:17704","PDZRN3"
"HGNC:3026","DRD5"
"HGNC:29400","CCDC85A"
"HGNC:21030","ARHGAP15"
"HGNC:23206","LUZP2"
"HGNC:11843","TLL1"
"HGNC:8795","PDE9A"
"HGNC:29075","FAM189A1"
"HGNC:24709","VWA2"
